Date Saved,12.12.2025 12:29:51
Spectral Data 593[nm],0.000648672576
Spectral Data 594[nm],0.000643584470
Spectral Data 595[nm],0.000638354453
Spectral Data 596[nm],0.000633205113
Spectral Data 597[nm],0.000628297159
Spectral Data 598[nm],0.000623787171
Spectral Data 599[nm],0.000619831728
Spectral Data 600[nm],0.000616571691
Spectral Data 601[nm],0.000614105375
Spectral Data 602[nm],0.000612523931
Spectral Data 603[nm],0.000611918396
Spectral Data 604[nm],0.000612361066
Spectral Data 605[nm],0.000613808166
Spectral Data 606[nm],0.000616172329
Spectral Data 607[nm],0.000619366008
Spectral Data 608[nm],0.000623302069
Spectral Data 609[nm],0.000627894944
Spectral Data 610[nm],0.000633060292
Spectral Data 611[nm],0.000638714293
Spectral Data 612[nm],0.000644772139
Spectral Data 613[nm],0.000651079463
Spectral Data 614[nm],0.000657371536
Spectral Data 615[nm],0.000663374900
Spectral Data 616[nm],0.000668816268
Spectral Data 617[nm],0.000673470262
Spectral Data 618[nm],0.000677272154
Spectral Data 619[nm],0.000680190919
Spectral Data 620[nm],0.000682195358
Spectral Data 621[nm],0.000683282211
Spectral Data 622[nm],0.000683661259
Spectral Data 623[nm],0.000683640479
Spectral Data 624[nm],0.000683528313
Spectral Data 625[nm],0.000683634309
Spectral Data 626[nm],0.000684289727
Spectral Data 627[nm],0.000685846433
Spectral Data 628[nm],0.000688656990
Spectral Data 629[nm],0.000693073263
Spectral Data 630[nm],0.000699283613
Spectral Data 631[nm],0.000707155385
Spectral Data 632[nm],0.000716520997
Spectral Data 633[nm],0.000727212813
Spectral Data 634[nm],0.000739027339
Spectral Data 635[nm],0.000751648389
Spectral Data 636[nm],0.000764722005
Spectral Data 637[nm],0.000777894340
Spectral Data 638[nm],0.000790836115
Spectral Data 639[nm],0.000803378061
Spectral Data 640[nm],0.000815414824
Spectral Data 641[nm],0.000826841337
Spectral Data 642[nm],0.000837554573
Spectral Data 643[nm],0.000847472984
Spectral Data 644[nm],0.000856528117
Spectral Data 645[nm],0.000864651811
Spectral Data 646[nm],0.000871784054
Spectral Data 647[nm],0.000878025428
Spectral Data 648[nm],0.000883620814
Spectral Data 649[nm],0.000888820272
Spectral Data 650[nm],0.000893872057
Spectral Data 651[nm],0.000898960221
Spectral Data 652[nm],0.000904185756
Spectral Data 653[nm],0.000909643772
Spectral Data 654[nm],0.000915429206
Spectral Data 655[nm],0.000921608531
Spectral Data 656[nm],0.000928193040
Spectral Data 657[nm],0.000935187796
Spectral Data 658[nm],0.000942597748
Spectral Data 659[nm],0.000950391113
Spectral Data 660[nm],0.000958426623
Spectral Data 661[nm],0.000966542633
Spectral Data 662[nm],0.000974577793
Spectral Data 663[nm],0.000982401427
Spectral Data 664[nm],0.000990026630
Spectral Data 665[nm],0.000997508643
Spectral Data 666[nm],0.001004902064
Spectral Data 667[nm],0.001012252411
Spectral Data 668[nm],0.001019510091
Spectral Data 669[nm],0.001026586047
Spectral Data 670[nm],0.001033391920
Spectral Data 671[nm],0.001039830502
Spectral Data 672[nm],0.001045532757
Spectral Data 673[nm],0.001049926854
Spectral Data 674[nm],0.001052441541
Spectral Data 675[nm],0.001052510575
Spectral Data 676[nm],0.001049811603
Spectral Data 677[nm],0.001044365345
Spectral Data 678[nm],0.001036218251
Spectral Data 679[nm],0.001025417354
Spectral Data 680[nm],0.001012254972
Spectral Data 681[nm],0.000997672556
Spectral Data 682[nm],0.000982718077
Spectral Data 683[nm],0.000968439039
Spectral Data 684[nm],0.000955840398
Spectral Data 685[nm],0.000945701438
Spectral Data 686[nm],0.000938728044
Spectral Data 687[nm],0.000935625867
Spectral Data 688[nm],0.000937025528
Spectral Data 689[nm],0.000942725863
Spectral Data 690[nm],0.000952007598
Spectral Data 691[nm],0.000964143779
Spectral Data 692[nm],0.000978407334
Spectral Data 693[nm],0.000994068221
Spectral Data 694[nm],0.001010393258
Spectral Data 695[nm],0.001026649028
Spectral Data 696[nm],0.001042103395
Spectral Data 697[nm],0.001056268578
Spectral Data 698[nm],0.001069171238
Spectral Data 699[nm],0.001080903807
Spectral Data 700[nm],0.001091558253
Spectral Data 701[nm],0.001101204543
Spectral Data 702[nm],0.001109820558
Spectral Data 703[nm],0.001117360080
Spectral Data 704[nm],0.001123777591
Spectral Data 705[nm],0.001129021985
Spectral Data 706[nm],0.001132920384
Spectral Data 707[nm],0.001135247876
Spectral Data 708[nm],0.001135782222
Spectral Data 709[nm],0.001134314225
Spectral Data 710[nm],0.001130870311
Spectral Data 711[nm],0.001125711831
Spectral Data 712[nm],0.001119113760
Spectral Data 713[nm],0.001111351070
Spectral Data 714[nm],0.001102733309
Spectral Data 715[nm],0.001093650120
Spectral Data 716[nm],0.001084501157
Spectral Data 717[nm],0.001075685490
Spectral Data 718[nm],0.001067605102
Spectral Data 719[nm],0.001060646609
Spectral Data 720[nm],0.001055196859
Spectral Data 721[nm],0.001051643281
Spectral Data 722[nm],0.001050347695
Spectral Data 723[nm],0.001051290892
Spectral Data 724[nm],0.001054152497
Spectral Data 725[nm],0.001058603288
Spectral Data 726[nm],0.001064314740
Spectral Data 727[nm],0.001071031322
Spectral Data 728[nm],0.001078626141
Spectral Data 729[nm],0.001086986624
Spectral Data 730[nm],0.001095999964
Spectral Data 731[nm],0.001105475472
Spectral Data 732[nm],0.001114889747
Spectral Data 733[nm],0.001123631839
Spectral Data 734[nm],0.001131090219
Spectral Data 735[nm],0.001136718434
Spectral Data 736[nm],0.001140694367
Spectral Data 737[nm],0.001143646543
Spectral Data 738[nm],0.001146210241
Spectral Data 739[nm],0.001149010379
Spectral Data 740[nm],0.001152237877
Spectral Data 741[nm],0.001155475620
Spectral Data 742[nm],0.001158259343
Spectral Data 743[nm],0.001160125015
Spectral Data 744[nm],0.001160580898
Spectral Data 745[nm],0.001159015461
Spectral Data 746[nm],0.001154801575
Spectral Data 747[nm],0.001147312229
Spectral Data 748[nm],0.001135878265
Spectral Data 749[nm],0.001119586988
Spectral Data 750[nm],0.001097390079
Spectral Data 751[nm],0.001068235259
Spectral Data 752[nm],0.001031131134
Spectral Data 753[nm],0.000986893079
Spectral Data 754[nm],0.000938342419
Spectral Data 755[nm],0.000888400944
Spectral Data 756[nm],0.000839991379
Spectral Data 757[nm],0.000795489410
Spectral Data 758[nm],0.000755830551
Spectral Data 759[nm],0.000721734832
Spectral Data 760[nm],0.000693922339
Spectral Data 761[nm],0.000673182949
Spectral Data 762[nm],0.000660745660
