Date Saved,2/25/2026 11:15:18 AM
Spectral Data 705[nm],0.665382087231
Spectral Data 706[nm],0.664804577827
Spectral Data 707[nm],0.663536250591
Spectral Data 708[nm],0.661454856396
Spectral Data 709[nm],0.658444464207
Spectral Data 710[nm],0.654485404491
Spectral Data 711[nm],0.649654030800
Spectral Data 712[nm],0.644033253193
Spectral Data 713[nm],0.637705981731
Spectral Data 714[nm],0.630827844143
Spectral Data 715[nm],0.623719930649
Spectral Data 716[nm],0.616724371910
Spectral Data 717[nm],0.610183298588
Spectral Data 718[nm],0.604406595230
Spectral Data 719[nm],0.599513053894
Spectral Data 720[nm],0.595557332039
Spectral Data 721[nm],0.592594265938
Spectral Data 722[nm],0.590674996376
Spectral Data 723[nm],0.589810252190
Spectral Data 724[nm],0.589978098869
Spectral Data 725[nm],0.591154992580
Spectral Data 726[nm],0.593316435814
Spectral Data 727[nm],0.596355795860
Spectral Data 728[nm],0.600020051003
Spectral Data 729[nm],0.604040563107
Spectral Data 730[nm],0.608148872852
Spectral Data 731[nm],0.612119436264
Spectral Data 732[nm],0.615909516811
Spectral Data 733[nm],0.619524836540
Spectral Data 734[nm],0.622971296310
Spectral Data 735[nm],0.626247882843
Spectral Data 736[nm],0.629269540310
Spectral Data 737[nm],0.631899237633
Spectral Data 738[nm],0.633999884129
Spectral Data 739[nm],0.635438621044
Spectral Data 740[nm],0.636272013187
Spectral Data 741[nm],0.636822164059
Spectral Data 742[nm],0.637431621552
Spectral Data 743[nm],0.638443410397
Spectral Data 744[nm],0.639946401119
Spectral Data 745[nm],0.641180634499
Spectral Data 746[nm],0.641221165657
Spectral Data 747[nm],0.639143168926
Spectral Data 748[nm],0.634108185768
Spectral Data 749[nm],0.626030445099
Spectral Data 750[nm],0.615198075771
Spectral Data 751[nm],0.601901292801
Spectral Data 752[nm],0.586433231831
Spectral Data 753[nm],0.569175243378
Spectral Data 754[nm],0.550606071949
Spectral Data 755[nm],0.531209528446
Spectral Data 756[nm],0.511470854282
Spectral Data 757[nm],0.491993576288
Spectral Data 758[nm],0.473665803671
Spectral Data 759[nm],0.457428067923
Spectral Data 760[nm],0.444220960140
Spectral Data 761[nm],0.434933245182
Spectral Data 762[nm],0.430126368999
Spectral Data 763[nm],0.430234551430
Spectral Data 764[nm],0.435691684484
Spectral Data 765[nm],0.446864366531
Spectral Data 766[nm],0.462827593088
Spectral Data 767[nm],0.481523752213
Spectral Data 768[nm],0.500859260559
Spectral Data 769[nm],0.518746376038
